日付,曜日,料理名,カテゴリー
2026/02/07,土,ハンバーグ,
2026/02/01,日,鶏のすっぱ煮,主菜1
2026/02/01,日,サバの味噌煮,主菜2
2026/02/01,日,ポテトサラダ,副菜2
2026/02/15,日,とんかつ,主菜1
2026/02/22,日,生姜焼き,主菜1
2026/02/22,日,鱈 照り焼き,主菜2
2026/02/22,日,かぼちゃの煮物,副菜1
2026/02/22,日,ミネストローネ,汁物
2026/02/22,日,ハンバーグ,主菜1
2026/02/22,日,ほうれんそうのおひたし,副菜1
2026/02/01,日,ハンバーグ,
2026/02/01,日,ぶりの照り焼き,
2026/02/02,月,鶏のすっぱ煮,
2026/02/02,月,サバの味噌煮,
2026/02/03,火,鶏のすっぱ煮,
2026/02/03,火,サバの味噌煮,
2026/02/04,水,鶏のすっぱ煮,
2026/02/04,水,サバの味噌煮,
2026/02/15,日,とんかつ,
2026/02/15,日,切り干し大根,
2026/02/15,日,ナムル,
2026/02/15,日,味噌汁 なめこ,
2026/02/22,日,!市販惣菜(サバ）,
2026/02/22,日,0前日と同じ,
2026/02/22,日,アボガド丼,
2026/02/22,日,揚げナス,
2026/02/22,日,いんげん,
2026/02/22,日,いんげんウィンナー炒め,
2026/02/23,月,!市販惣菜(サバ）,
2026/02/23,月,#外食,
2026/02/23,月,0テイクアウト品,
2026/02/24,火,!市販惣菜(サバ）,
2026/02/24,火,#外食,
2026/02/24,火,アボガド丼,
2026/02/25,水,!パン（朝食）,
2026/02/25,水,0テイクアウト品,
2026/02/25,水,たぬきうどん,
2026/02/22,日,コロッケ(惣菜）,
2026/02/22,日,天ぷら（惣菜）,
2026/02/22,日,豚汁,
2026/02/23,月,豚バラ大根,
2026/02/23,月,焼魚　鮭,
2026/02/23,月,いんげんウィンナー炒め,
2026/02/23,月,前日と同じ,
2026/02/24,火,ビーフン,
2026/02/24,火,焼魚　サバ,
2026/02/24,火,かぼちゃの煮物,
2026/02/24,火,味噌汁　あさり,
2026/02/25,水,蒸し野菜,
2026/02/25,水,混ぜご飯（鶏ごぼう）,
2026/02/26,木,カツ丼,
2026/02/26,木,もやしのナムル,
2026/02/26,木,味噌汁　小松菜,
2026/02/27,金,パスタ,
2026/02/27,金,コンソメスープ,
2026/02/25,水,味噌汁　大根,
2026/02/22,日,けんちん汁,
2026/02/22,日,浅漬け,
2026/02/22,日,たまごスープ,
